0x00200008, _start - Clears the uninitialized data region, initializes EE runtime services, runs main, and passes its result to Exit
0x002000B8, _exit - Loops indefinitely as the terminal fallback reached after program shutdown
0x0026A630, PLAY_getCurrent - Returns the structure pointer for the currently active play-control instance
0x0026A640, PLAY_setupDefault - Clears callbacks and chart entries, sets no active observer, and restores default playback speed parameters
0x0026A6A8, PLAY_setup - Selects one playback camera and initializes its controls plus dimensions from the playback source
0x0026A770, PLAY_setTimeChart - Assigns a time-chart resource to the supplied playback controller
0x0026A778, PLAY_setObserver - Registers a callback in the first free playback observer slot with chart and key selectors
0x0026A7E8, PLAY_loadCamera - Returns immediately because playback camera loading is not implemented here
0x0026A7F0, PLAY_ctrl - Advances or scrubs playback camera time, handles looping, and invokes observers for reached chart keys
0x0026AB90, PLAY_getCallBackParams - Initializes and returns the playback controller's embedded callback-parameter object
0x0026ABA8, PLAY_checkTCH - Advances time-chart playback to the current timestamp, updates output fields, and returns the active chart value
0x0026AC68, screenMask - Advances a screen-fade task, applies model fade steps, invokes completion callbacks, and removes finished work
0x0026ACE0, fxAdapter - Waits for a child effect callback to finish, forwards its result, then removes the adapter task
0x0026ADB8, FX_ScreenMask - Configures a screen-mask fade task with caller colors, duration, mode, and completion callback
0x0026AE48, FX_call - Creates an effect task, optionally starts active fading, and records callback arguments for deferred execution
0x0026AF68, getInfoAddr - Relocates every offset in a time-chart information blob into an absolute pointer
0x0026AFE0, TCH_getInfoID - Relocates a time-chart blob and returns the indexed record matching the requested string identifier
0x0026B0A0, TCH_getInfo - Relocates a time-chart blob and returns the requested indexed information record
0x0026B130, JS_init - Resets class counters and allocates primitive and class tables from the supplied resource arena
0x0026B1A0, JS_loadClass - Allocates a native script class descriptor and registers its corresponding class primitive
0x0026B210, JS_loadConstInteger - Appends an integer primitive descriptor, increments the primitive count, and returns success
0x0026B250, JS_classSetup - Assigns a script class name and resets its registered method count
0x0026B260, JS_classAddMethod - Appends a named native callback descriptor to the supplied script class
0x0026B298, JS_findObject - Splits a qualified object name, walks class members, and returns the matching runtime object or null
0x0026B380, JS_callMethod - Tokenizes a method invocation, resolves its target and arguments, validates types, then executes the native callback
0x0026B5A0, JS_checkArgs - Parses and type-checks script call arguments against a method signature, storing converted values or returning failure
0x0026B8A8, JS_exec - Parses script lines into object method calls and invokes each resolved native callback
0x0026B9B0, STR_tokenGetType - Returns the type assigned to the most recently parsed script token
0x0026B9B8, STR_tokenGetNext - Skips whitespace, parses the next identifier, number, string, or delimiter, and returns its endpoint
0x0026BBC8, STR_getLine - Copies one trimmed script line within output bounds, skips comments, and returns the next source position
0x0026BD18, STR_trim - Removes leading and trailing control or whitespace characters from a string in place
0x0026BD90, STR_trim2 - Advances past leading copies of a nonzero delimiter, replaces every later copy with NUL, and returns the first nondelimiter position
0x0026BE18, JS_classLight_getPeer - Returns the global light peer for identifier minus one, otherwise no peer
0x0026BE38, JS_classLight_setColor - Sets ambient or directional light RGB from integer or floating arguments and refreshes debug controls
0x0026BF18, JS_classLight_setDirection2 - Sets a valid directional light vector and refreshes the debug lighting controls
0x0026BF80, EW_sprtSetCursorUV - Selects cursor texture coordinates from sprite state and writes the four corner UV pairs
0x0026BFE8, frame_init - Clears frame flags and assigns default opacity 0x60
0x0026BFF8, sprt_init - Clears sprite flags and assigns default opacity 0x80
0x0026C008, mask_init - Initializes mask opacity to 0x60 and enables its default 0x8000 mode bit
0x0026C020, EW_setDrawEnv - Appends the fixed window draw-environment GIF tag to the active primitive packet
0x0026C0E0, EW_create - Finds a free widget slot, marks its type, initializes type-specific storage, and returns the component
0x0026C238, EW_dispose - Releases container children when present and marks the event-window component slot unused
0x0026C2A0, EW_addComponent - Allocates a window component slot, links it to its owner, and initializes type-specific state
0x0026C3A0, EW_drawContainer - Iterates a container's child pointers and draws each enabled widget
0x0026C420, EW_drawComoponent - Dispatches a widget by type, rendering graphics immediately or printing labels during the font pass
0x0026C708, EW_init - Marks all 64 fixed event-window component slots unused
0x0026C740, EW_sendPacket - Reloads widget font textures, configures draw state, and emits enabled graphical components into the packet
0x0026C7E0, EW_draw - Registers packet emission with the font system, then draws enabled text-pass widgets
0x0026C868, container_init - Clears a container's flags, child pointer, position, and dimensions
0x0026C880, mask_put - Builds and submits a shaded rectangular mask, reversing its gradient when requested
0x0026CA98, sprt_put - Builds and submits one textured event-window sprite from its source and destination rectangles
0x0026CBE0, set_clip - Clamps a component rectangle to screen bounds and submits its GS scissor register
0x0026CCA0, checkN2 - Returns whether the supplied frame coordinate is nonnegative and within the signed 11-bit drawing range
0x0026CCE0, frame_put - Builds and submits an eight-piece textured event-window frame, correcting edge coordinates outside drawing range
0x0026D040, label_put - Builds and submits a selectively bordered textured label frame with coordinate-range corrections
0x0026D430, RSRC_inactiveSource - Marks resource entries from the supplied source pointer inactive and clears their source association
0x0026D478, RSRC_create - Clears a resource arena, lays out its item table and payload bounds, and returns the initialized manager
0x0026D4F0, RSRC_setPrintParam - Stores the starting index and count used by resource diagnostic output
0x0026D500, RSRC_info - Formats allocated resource entries and prints shortened paths, sizes, identifiers, flags, and reference counts
0x0026D720, RSRC_getDefaultPath - Returns the default directory path currently used for resource-file lookups
0x0026D728, RSRC_setDefaultPath - Stores the default directory used for subsequent resource-file lookups
0x0026D738, RSRC_init - Clears the resource table, default path, allocation counters, and active-source bookkeeping
0x0026D780, RSRC_check - Returns whether a resource handle is allocated and not marked inactive or pending disposal
0x0026D7A0, RSRC_alloc - Acquires a resource descriptor, reserves aligned arena storage, clears it, and records caller metadata
0x0026D8B0, RSRC_searchFile - Finds the longest resource-path prefix matching the requested filename and returns its table entry
0x0026D960, isLeave - Returns whether a resource entry carries the persistent leave flag
0x0026D970, RSRC_dispose - Releases matching resource references, marks unreferenced items inactive, and compacts source bookkeeping
0x0026DAF8, RSRC_getItemID - Searches a resource container's live items for the requested byte identifier and returns the matching record
0x0026DB40, RSRC_getItem2 - Searches a resource container's live items for the requested integer key and returns the matching record
0x0026DB88, RSRC_getItem - Returns the first live resource item, or the live item matching the requested secondary key
0x0026DBE8, RSRC_loadFileSub - Loads and caches a named file in the resource arena unless it already exists
0x0026DD78, RSRC_loadFile2 - Loads a resource file through the shared loader using explicit path and allocation options
0x0026DD90, RSRC_loadFile - Loads a resource file with default allocation options and returns its resource handle
0x0026DDB0, RSRC_getDirtyItem - Chooses an unused or evictable resource entry large enough for the requested allocation, otherwise returns null
0x0026DE50, MATRIX_print - Prints all four rows of a floating-point matrix with fixed three-decimal formatting
0x0026DEF8, MATRIX_identity - Writes a standard four-by-four floating-point identity matrix to the supplied destination
0x0026DF50, MATRIX_identity4s - Writes a four-row packed identity matrix using 12-bit fixed-point unit values
0x0026DFA8, MATRIX_convert4 - Multiplies each basis row by its W scale, clears basis W values, and preserves translation
0x0026E070, MATRIX_convert4s - Copies a matrix while storing each three-component basis length in that row's W element
0x0026E1E0, MATRIX_convert4MulMatrix - Removes encoded basis scales from the second matrix, then multiplies it by the third matrix
0x0026E280, MATRIX_convert4MulMatrixRev - Removes encoded basis scales from one matrix and premultiplies its four rows by another
0x0026E310, MATRIX_mul3x4 - Multiplies two affine matrices across three basis rows, adds translation, and restores homogeneous W constants
0x0026E400, MATRIX_mul4sx3 - Multiplies affine matrices while applying source row W scales to translation and preserving those scales
0x0026E510, MATRIX_transpose4 - Copies all sixteen matrix elements to the destination with rows and columns exchanged
0x0026E598, MATRIX_transpose3 - Transposes the upper-left three-by-three matrix in place, leaving translation and W components unchanged
0x0026E5D0, MATRIX_rotate4 - Normalizes an axis and builds its homogeneous rotation matrix from sine, cosine, and Rodrigues terms
0x0026E750, MATRIX_rotXYZ - Provides an intentional no-op entry point for matrix rotation XYZ call sites
0x0026E758, MATRIX_rotZYX - Provides an intentional no-op entry point for matrix rotation zyx call sites
0x0026E760, MATRIX_rotX4 - Builds an X-axis rotation for the angle and postmultiplies the supplied affine matrix in place
0x0026E7A8, MATRIX_rotY4 - Builds a Y-axis rotation for the angle and postmultiplies the supplied affine matrix in place
0x0026E7F0, MATRIX_rotZ4 - Builds a Z-axis rotation for the angle and postmultiplies the supplied affine matrix in place
0x0026E838, MATRIX_rotX4s - Builds an X rotation and multiplies it into a matrix retaining per-row scale values
0x0026E880, MATRIX_rotY4s - Builds a Y rotation and multiplies it into a matrix retaining per-row scale values
0x0026E8C8, MATRIX_rotZ4s - Builds a Z rotation and multiplies it into a matrix retaining per-row scale values
0x0026E910, MATRIX_translate4 - Transforms an XYZ displacement by the current basis and adds it to all four translation components
0x0026E9C8, MATRIX_scale4 - Updates matrix 4 using floating-point arithmetic and range handling
0x0026EA60, MATRIX_translate4s - Scales XYZ displacement by basis W values before accumulating the transformed translation into the matrix
0x0026EB18, MATRIX_scale4s - Updates matrix 4 s using floating-point arithmetic and range handling
0x0026EB40, MATRIX_toQuat4 - Converts a rotation matrix to a quaternion using its trace or the largest diagonal component
0x0026EE30, QUAT_toAxis - Converts quaternion W to rotation angle and normalizes XYZ by sine of the half-angle
0x0026EEF0, QUAT_toMatrix4 - Expands quaternion products into a homogeneous three-axis rotation matrix with zero translation
0x0026EFB8, QUAT_interpS - Negates the second quaternion when its dot product is negative, computes sine-weighted SLERP coefficients when separated, and writes the weighted four-component sum
0x0026F168, QUAT_interpL - Linearly interpolates four quaternion components and normalizes the resulting quaternion to unit length
0x0026F250, CUR_MATRIX_Unit - Loads the VU current-matrix registers with a floating-point homogeneous identity matrix
0x0026F268, CUR_MATRIX_Unit4s - Loads the VU current matrix with identity basis rows carrying fixed-point scale 4096
0x0026F288, CUR_MATRIX_Set - Invokes `_lqc2(*param_1)` and `_lqc2(param_1[1])` and `_lqc2(param_1[2])` and `_lqc2(param_1[3])`
0x0026F2A0, CUR_MATRIX_Get - Copies through the output pointer via `*param_1 = auVar1` and `param_1[1] = auVar1` and `param_1[2] = auVar1` and `param_1[3] = auVar1`; with `*param_1 = auVar1` and `param_1[1] = auVar1`
0x0026F2B8, CUR_MATRIX_GetT - Copies through the output pointer via `*param_1 = auVar1`; with `*param_1 = auVar1`
0x0026F2C8, CUR_MATRIX_SetT - Computes `auVar1 = _lqc2(*param_1)`; invokes `auVar1 = _lqc2(*param_1)` and `_vmove(auVar1)`
0x0026F2D8, CUR_MATRIX_SetR - Computes `auVar1 = _lqc2(*param_1)` and `auVar2 = _lqc2(param_1[1])` and `auVar3 = _lqc2(param_1[2])`; invokes `auVar1 = _lqc2(*param_1)` and `auVar2 = _lqc2(param_1[1])` and `auVar3 = _lqc2(param_1[2])` and `_vmove(auVar1)`
0x0026F2F8, CUR_MATRIX_4s3 - Converts the current matrix's three scaled basis rows to ordinary vectors while retaining translation
0x0026F360, CUR_MATRIX_Txyz4s - Applies a scaled XYZ translation directly to the VU current matrix translation row
0x0026F388, CUR_MATRIX_Rx4s - Rotates the VU current matrix around X using fixed-point sine and cosine coefficients
0x0026F3C0, CUR_MATRIX_Ry4s - Rotates the VU current matrix around Y using fixed-point sine and cosine coefficients
0x0026F3F8, CUR_MATRIX_Rz4s - Rotates the VU current matrix around Z using fixed-point sine and cosine coefficients
0x0026F430, CUR_MATRIX_Rzyx4s - Applies fixed-point Z, Y, then X rotations to the VU current matrix basis
0x0026F4C0, CUR_MATRIX_Sxyz4s - Multiplies the VU current matrix basis rows by supplied fixed-point XYZ scale values
0x0026F4D8, EndouTest - Runs the top-level debug menu until Start and Select are held, dispatching twelve tests from DAT_00490dba button bits and sleeping once per rendered menu frame
0x0026F7C0, TextTest - Loads overlay 2, walks UMN event-text records, advances message pages on bit 3, and replaces the message text until the record list or exit chord ends the loop
0x0026F908, ShopTest - Loads shop data into aligned WorkEnd storage, seeds party and money data, changes the selected shop index with shoulder inputs, prints each 0x170-byte shop record, and opens MenuShopMain on confirm
0x0026FDE8, SeisanTest - Loads overlay 1, initializes Seisan, and repeatedly runs SeisanMain and SeisanDisp until the Start-plus-Select exit chord is pressed
0x0026FE78, ModelTest - Builds three actors and their model resources, updates motion and transforms from pad input, constructs projected debug primitives, and draws the models and message samples each frame until exit
0x002710F8, BattleWindowTest - Initializes all four battle-window variants, maps pad bits to their open and close calls, advances paged text, and runs every window main routine once per frame until exit
0x00271410, eNumberTest - Initializes sprite, ribbon, line, cursor, tag-font, and number examples, updates their coordinates and modes from pad bits, and submits each example every frame until exit
0x00272028, eModelTestMain - Opens the test menu model on first entry, maps pad input to model rotation and motion controls, updates its transform, and requests disposal on the exit phase
0x00272088, eModelTest - Initializes menu-model memory, creates model ID 0x1D with eModelTestMain as its callback, and pumps MenuModelMain until the exit chord is pressed
0x00272178, ePrintTest - Provides an intentional no-op entry point for e print test call sites
0x00272180, eMessageTest - Creates three message objects, changes pages, text samples, modes, spacing, and line limits from pad input, then draws them each frame until exit
0x00272440, BgTest - Invokes `uVar1 = xglPacketGetCurrent()` and `sceVif1PkRef(uVar1,0x36b640,10,0,0,0)`
0x002724A8, TexturTest - Loads texture and packet files at 16-byte-aligned WorkEnd addresses, emits one VIF reference pair per texture record, adjusts the test X coordinate, and restores WorkEnd after exit
0x00272718, UmnPrintTest - Provides an intentional no-op entry point for UMN print test call sites
0x00272720, UmnMailDispTest - Initializes two UML display parameter blocks, moves one in eight-pixel steps with directional input, selects display modes 0 through 5 from face buttons, and draws both blocks each frame
0x002728F8, e_test - Invokes `sceVif1PkCloseDirectHLCode(*puVar1)` and `sceVif1PkRef(*puVar1,0x36bed0,7,0,0,0)` and `sceVif1PkRef(*puVar1,test_data + 0x30,0x4002,0,0,0)` and `sceVif1PkCnt(*puVar1,0)`
0x00272998, ReLoadTest - Loads the test resource at the next 16-byte WorkEnd boundary, advances WorkEnd by its size, and repeatedly prints it through direct and callback font paths until exit
0x00272AC0, endCallback - Converts file-load byte counts to float progress values, updates the test transfer display, and sleeps while the asynchronous load remains incomplete
0x00272BE0, FileLoadTest - Reserves a one-megabyte aligned buffer, installs endCallback, starts an asynchronous file read, and once complete emits the image and adjustable GS environment through VIF packets until exit
0x00272DF0, JpegTest - Allocates and clears two 0x80000-byte buffers, captures a thumbnail into the first, decodes it into the second, and displays the decoded image each frame until exit
0x00272F48, UmlTest - Loads a text file into a 0x10000-byte buffer, copies ordinary bytes, translates backslash-t decimal escapes into compact tab records, terminates mm_73, and displays the converted string until exit
0x00273228, PauseMenuPagePartyDebugTakeAgws - Displays each AGWS ownership bit and toggles the selected ID through PartyTakeAgwsOn or PartyTakeAgwsOff
0x00273400, PauseMenuPagePartyDebugLockParty - Toggles the selected character's party-lock flag with PartyLockPartyOn or PartyLockPartyOff after checking its current lock state
0x002735D8, PauseMenuPagePartyDebugOutFriend - Displays and toggles each character's unavailable-friend bit, excluding unsupported character ID 4
0x002737B0, PauseMenuPagePartyDebugFriend - Displays and toggles each playable character's friend-membership bit through party mask helpers
0x00273988, PauseMenuPagePartyDebugAttacker - Edits three attacker slots, showing character names and validating selections against current party membership
0x00273C40, PauseMenuPagePartyDebug - Dispatches the party debugger's friend, lock, unavailable, AGWS, and attacker pages and prints controls
0x00273D20, OpenSubType00 - Generates three sinusoidally warped frame strips from rectangle center and opening counter, emits primitive type 9, and reaches phase 0xFF after twelve steps
0x00274100, CloseSubType00 - Invokes xglSin and xglCos to tear down helper type 00 resources and clears their dependent handles and state fields
0x002744E0, OpenSubType01 - Expands two vertical frame strips from the rectangle center over seven steps, submits each as primitive type 9, and marks completion with phase 0xFF
0x00274660, OpenCloseMain - Reads open close control fields, branches on their values, and writes the selected state updates
0x00274700, eWindowMain - Advances the embedded open/close controller, derives frame coordinates from the window rectangle, submits the window through endPrintExtFunc, and updates its phase byte
0x002748E8, eWindowSet - Stores `*(undefined1 *)((int)param_1 + 0x17) = 0x80` and `param_1[4] = 0x10` and `*(undefined1 *)((int)param_1 + 0x19) = 0` and `*param_1 = 0`
0x00274928, eCursolMain - Initializes the cursor sprite for its style, animates its horizontal pulse and visibility counter, copies position and color fields, and submits render mode 4
0x00274B18, eCursolModeChange - Stores `*param_1 = cVar2`; when `param_2 < 0x22` and `param_2 < 0x20`
0x00274BA8, eCursolSet - Stores `param_1[3] = param_2` and `param_1[0xc] = 0x80` and `*(undefined2 *)(param_1 + 4) = 0` and `*(undefined2 *)(param_1 + 6) = 0`
0x00274BE0, WindowTexLoad - Fills window texture buffers using endPrintInit and MenuLoadFile and records the resulting transfer metadata and status
0x00274CE8, WindowTexAddrGet - Returns `MenuWinAddr` and `(undefined *)0x0` and `puVar1`; after testing `param_1 < 0` and `param_1 < 2` and `param_1 != 2`
0x00274D28, MenuWorkEndGet - Clears the menu-work completion structure through memset before returning control
0x00274D60, MenuWorkEndCheck - Provides an intentional no-op entry point for menu work end check call sites
0x00274D68, ChangeTopLevel - Stores `DAT_0036c183 = 0` and `DAT_0036c182 = 0` and `DAT_0036c181 = param_1` and `*puVar1 = 0`
0x00274DB8, MenuKeepSelectReset - Zeros twelve consecutive five-byte saved menu-selection records
0x00274E08, MenuSelectMove - Moves a menu index on up/down input, optionally permits end wrapping, wraps across the item count, plays sound effect 3 on movement, and returns the resulting index
0x00274ED0, MenuSelectMove2 - Tests `1 < param_2` and `DAT_00490dc4 == 0x2000` and `DAT_00490dc4 < 0x2001`; computes `lVar2 = 0` and `lVar2 = 1`; invokes `xglSoundEffectNormalID(3,0)`; returns `param_1`
0x00274F80, MoveSlide - Tests `sVar1 == sVar2` and `sVar2 < sVar1` and `-1 < lVar4`; stores `*param_2 = sVar5` and `*param_3 = sVar2`; invokes `lVar4 = dptoli((double)((float)((int)sVar1 - (int)sVar2) / param_1) + 1.5)` and `lVar4 = dptoli((double)((float)((int)sVar1 - (int)sVar2) / param_1) - 1.5)`
0x00275098, MoveSlide2 - Moves a signed position toward its target by a fixed step, clamping without overshoot
0x002750F8, menuCallback - Updates MenuLoadCount from callback events: increment for 1, decrement for 4, store -2 for -2, or store -1 for -1
0x00275160, MenuFontLoad - Fills menu font buffers using xglFontLoad and records the resulting transfer metadata and status
0x002751B0, MenuLoadFile - Starts an asynchronous CD read with the supplied path, destination, offset, and completion callback
0x002751D0, MenuLoadSync - Returns the current MenuLoadCount value used by menu load sync
0x002751D8, MenuLoadInit - Resets the global count of outstanding asynchronous menu file loads to zero
0x002751E0, MenuLoadEnd - Provides an intentional no-op entry point for menu load end call sites
0x002751E8, MenuLoadCancel - Clears the pending menu-load count and cancels any active CD read request
0x00275218, MenuBibrationSet - Stores the supplied menu vibration value in MenuBibrationCount
0x00275230, MenuBibrationInit - Initializes menu vibration by storing the requested countdown through MenuBibrationSet
0x00275258, MenuBibrationMain - Advances the menu vibration countdown and updates controller vibration output while active
0x002752A0, MenuCfTaikiPush - Pushes a menu control-flow wait record onto the bounded runtime stack
0x002752E0, MenuCfTaikiPop - Pops and returns the most recent menu control-flow wait record from the runtime stack
0x00275320, MenuBgTaskInit - Aligns and creates sixteen background tasks, snapshots the selected 0x5E0-byte camera, resets that camera, seeds a background descriptor, registers it, and returns the next free address
0x002754A0, MenuBgTaskMain - Draws the menu background texture selected by the task record and executes all child objects attached to MenuBgTask
0x002754E8, MenuBgTaskBreak - Marks the background task for closing, pumps it until child teardown finishes, then restores the menu camera and clears the task handle
0x00275560, MenuTairetuLoad - Fills menu tairetu buffers using MenuLoadFile and records the resulting transfer metadata and status
0x00275668, MainMenu - Captures the current frame, allocates and loads menu resources, creates top-level menu tasks, runs selection and drawing until close, then restores fonts, textures, camera, and field flags
0x00275D18, CharactorAllRecovery - Loads saved character all fields, invokes calcTotalParaMenu for dependent objects, and stores the restored state
0x00275D88, AgwsAllRecovery - Loads saved AGWS all fields, invokes calcTotalParaMenu for dependent objects, and stores the restored state
0x00275DF8, UmnkosmosSpecialInit - Invokes `pvVar1 = memset(&UmnKosmosSpecialBox,0,8)`; returns `pvVar1`
0x00275E18, UmnkosmosSpecialSet - Computes `psVar3 = &UmnKosmosSpecialBox` and `iVar4 = 0` and `bVar2 = true`; invokes `func_0x00a19750(2,sVar1)`; when `!bVar2`
0x00275E78, UmnInterface - Runs menu background rendering, draws the UMN interface layers, and reports completion when its close state finishes
0x002760F0, UmnMailMain - Initializes UMN mail and KOS-MOS special data, captures the frame, loads mail resources, runs the mail task loop, and restores menu and map rendering on exit
0x00276180, UmnMailBoxSet - Stores `DAT_004a1a0c = param_1` and `(&DAT_004a1a0c)[iVar1] = param_1`; when `DAT_004a1a0c == -1` and `0x7f < iVar1`
0x002761D8, UmnMailDataGet - Returns `&DAT_004a1ab4 + param_1 * 2`
0x002761F0, UmnDataBaseMonsterSet - Marks monster IDs 0x22-0x3E discovered in the packed bitset at DAT_004A1A94
0x00276248, UmnDataBaseMonsterCheck - Returns the packed discovery bit for monster IDs 0x22-0x3E, otherwise zero
0x00276298, UmnDataBaseAnalisisSet - Marks monster IDs 0x22-0x3E analyzed in the packed bitset at DAT_004A1AA4
0x002762F0, UmnDataBaseAnalisisCheck - Returns the packed analysis bit for monster IDs 0x22-0x3E, otherwise zero
0x00276340, hen - Initializes the global menu-model task and its resource manager through MenuModelInit
0x00276358, eNumberMain - Converts the configured integer into decimal or hexadecimal glyph sprites, applies zero padding and sign handling, positions each digit, and emits them through endPrintExtFunc
0x00276C40, eNumberNumberChange - Provides an intentional no-op entry point for e number number change call sites
0x00276C48, eNumberSet - Stores `*(undefined1 *)(param_1 + 8) = 0x80` and `*(undefined1 *)(param_1 + 0xc) = 3` and `*(undefined1 *)(param_1 + 0x10) = 0` and `*(undefined1 *)(param_1 + 0xb) = 0x80`
0x00276C78, eSpriteMain - Initializes the embedded sprite descriptor at offset 0x14, copies position, depth, color, and flags from offsets 4-0xF, then submits it through endPrintExtFunc mode 2
0x00276CF0, eSpriteSet - Stores the supplied e sprite value in the object field at offset 0x24
0x00276D20, eRibbonMain - Builds a two-ended ribbon frame from its rectangle, depth, colors, and style bytes, then submits the generated descriptor through endPrintExtFunc mode 3
0x00276F98, eRibbonModeChange - Stores the supplied e ribbon mode value in the object field at offset 0xC
0x00276FA0, eRibbonSet - Initializes ribbon mode, coordinates, colors, and six alternating segments using constants 0x20-0x80
0x00277150, eLineMain - Reads e line control fields, branches on their values, and writes the selected state updates
0x00277508, eLineSet - Stores `param_1[3] = 7` and `*param_1 = 0` and `param_1[iVar1] = param_1[3]` and `puVar2[0x1a] = 0xff`
0x00277568, eTagFontMain - Copies tag-font position, color, spacing, and string fields into its print descriptor and submits it through endPrintExtFunc mode 6
0x002775E0, eTagFontSet - Stores the supplied e tag font value in the object field at offset 0x1C
0x00277608, MenuTopCommandCheck - Returns whether the one-based top-menu command's bit is clear in MenuTopCommandLock
0x00277628, TopStatusWinMain - Fetches the active party member, maps Mary to her alternate ID, fills HP, EP, level, name, and portrait widgets, and draws the top status window
0x00277838, TopInfoMain - Lazily configures the top information WindowDX and its message buffer, updates the displayed help text for the highlighted command, and animates the window open or closed
0x002779B0, TopMenuWinMain - Creates the top command window, filters unavailable entries through MenuTopCommandCheck, moves its cursor from pad input, and draws command labels and selection framing
0x00277B58, TopFaceExWinMain - Builds party face slots, suppresses locked or unavailable friends, marks the current attacker, and animates each portrait and status overlay
0x00277FF8, TopMenu - Drives top-menu selection, status panels, character models, command locks, and transitions into selected submenu levels
0x00278380, tskMenuTai - Animates four menu formation actors against camera 2 and removes the task after its wait request
0x00278A98, tskMenuTaiPointa - Positions the formation pointer from party slots and camera 2, then renders its animated marker
0x00278EF8, MenuBackModelSet - Tests `MenuTask_XMX != 0` and `lVar5 != 0` and `iVar8 < 4); iVar8 = 0; iVar9 = 0x30; while( true`; stores `puVar7[0x34] = 0` and `puVar7[0x36] = 0x40800000` and `*puVar7 = 1`; invokes `uVar4 = xglStudioGetCamera2(2)` and `xglCameraInit(uVar4)`; returns `iVar10`
0x00279098, MenuStatusDisp - Writes menu status command data to the active output, invoking calcTotalParaMenu and MenuCharNameGet to obtain or submit dependent data
0x0027A108, MenuInfoWindow - Initializes, opens, updates, and closes the contextual description window and its message cursor by mode
0x0027A628, MenuSelectWindow - Tests `cVar1 == '\x01'` and `iVar5 < 0xc); return; } if (cVar1 < '\x02'` and `cVar1 != '\x03'`; stores `*(undefined1 *)(param_2 + 0x1a8) = 0x20` and `*puVar10 = 0x20` and `*(short *)(param_2 + 0x1ac) = *param_1 + (short)((param_1[4] - iVar6) / 2) + -0x10`; invokes `eCursolSet((undefined1 *)(param_2 + 0x1a8),0)` and `eMessageSet(iVar6,0)`
0x0027AC70, MenuPasWindow - Provides an intentional no-op entry point for menu pas window call sites
0x0027AC78, eMessageSpriteReset - Resets the global message-sprite allocation count to zero before a new print pass
0x0027AC80, eMessageDrawType00 - Provides an intentional no-op entry point for e message draw type 00 call sites
0x0027AC88, eMessageHalfSpaseCheck - Counts consecutive ASCII spaces at the start of a message substring
0x0027ACC8, eMessageNextGyou - Advances one encoded text line, accounting for special-code widths and leading half-spaces before returning the next pointer
0x0027ADB0, eMessageNextGyouMaxGet - Repeatedly advances encoded lines until the requested line count or string terminator, returning the reached pointer
0x0027AE10, eMessageNextWaitKeySearch - Scans encoded text for the next wait/page command while skipping special codes and half-space runs
0x0027AED8, eMessageDrawType01 - Writes e message type 01 command data to the active output, invoking eMessageNextWaitKeySearch and xglFontGetSPcodeSize to obtain or submit dependent data
0x0027BA80, eMessageMain - Dispatches the message object by draw type, updates paging and reveal counters, and calls eMessageDrawType01 for standard text while honoring hidden and completed phases
0x0027BC68, eMessageModeChange - Stores the supplied e message mode value in the object field at offset 1
0x0027BC70, eMessageSet - Initializes a message object's cursor fields with the requested cursor mode through eCursolSet
0x0027BCE8, eMessageTextChange - Tests `*(char *)(param_1 + 0x1c) != '\0'` and `pcVar1 = (char *)eMessageNextWaitKeySearch(), *pcVar1 != '\0'`; stores `*(undefined4 *)(param_1 + 0x18) = param_2` and `*(undefined1 *)(param_1 + 0x1d) = 0` and `*(undefined1 *)(param_1 + 0x1e) = 0`
0x0027BD48, eMessageNextPage - Advances an active message page index, emits mode byte 0x22, and returns zero after the final page
0x0027BDB0, eMessageDraw - Advances and renders one message object by invoking its state-machine main routine
0x0027BDC8, eMessageCpy - Resets the destination message then appends the supplied encoded text through eMessageCat
0x0027BDE8, eMessageCat - Appends encoded message bytes while preserving special codes and converting leading spaces to compact spacing commands
0x0027BF40, ePrintWHGet - Returns 0 without reading arguments or changing memory
0x0027BF48, endPrintInit - Begins a print frame by resetting the global message-sprite allocation counter
0x0027BF70, endPrintWinTexLoad - Fills print win texture load buffers using WindowTexAddrGet and sceVif1PkCnt and records the resulting transfer metadata and status
0x0027C070, PrintFlush - Writes flush command data to the active output, invoking xglFontReloadTexture and endPrintInit to obtain or submit dependent data
0x0027C0E0, endPrintExtFuncPack - Writes print ext func pack command data to the active output, invoking endPrintInit to obtain or submit dependent data
0x0027C128, endPrintInfoSet - Invokes xglPrimAddGifTagDirect to tear down print info set resources and clears their dependent handles and state fields
0x0027C228, endSpriteSet - Releases sprite set records and clears their active ownership or status fields
0x0027C2A0, subPrintSprite - Writes helper sprite command data to the active output, invoking xglPrimAddGifTagDirect to obtain or submit dependent data
0x0027C400, PrintSprite00 - Writes sprite 00 command data to the active output, invoking endPrintInfoSet and subPrintSprite to obtain or submit dependent data
0x0027C450, PrintSprite01 - Writes sprite 01 command data to the active output, invoking endPrintInfoSet and xglPrimAddGifTagDirect to obtain or submit dependent data
0x0027C708, PrintPoint - Writes point command data to the active output, invoking endPrintInfoSet and sceVif1PkAddDirectDataN to obtain or submit dependent data
0x0027C7D0, subPrintLine - Writes helper line command data to the active output, invoking sceVif1PkAddDirectDataN to obtain or submit dependent data
0x0027C8D0, PrintLine - Writes line command data to the active output, invoking endPrintInfoSet and subPrintLine to obtain or submit dependent data
0x0027C910, PrintLine2 - Writes line 2 command data to the active output, invoking endPrintInfoSet and sceVif1PkAddDirectDataN to obtain or submit dependent data
